SNP,not_fixed,ref_fixed,alt_fixed,total,not_fixed_exp,ref_fixed_exp,alt_fixed_exp,chi_sq,p.value,p.adj.BH,p.adj.bonf,p.adj.holm
29379017_2889507,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379017_3112424,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379017_3128449,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379024_3774615,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379024_3774639,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379024_3779796,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379028_2015760,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379028_2035471,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379028_2037499,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379032_513550,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379032_520511,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379032_571411,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379050_835425,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379058_2659435,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379060_802146,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379062_666526,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379068_461497,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379079_7348665,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379079_999437,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379082_1143689,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379082_1143790,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379082_205652,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379082_409092,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379082_409446,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379082_531760,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379090_2589848,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379106_294954,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379106_295158,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379136_899496,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379137_1189803,0,2,8,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379160_2729602,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_2800288,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_2807047,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_2807082,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_3201247,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_3201249,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_4233469,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_4233507,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379160_4233608,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379160_4233695,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379160_4910159,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379162_2382185,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379166_581348,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379169_2358738,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379170_1234162,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379171_43558,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379179_1952484,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379185_11334060,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379185_11334104,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379185_11334105,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379185_11334106,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379185_11334127,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379199_1029114,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379208_1315527,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379208_1445063,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379208_1453443,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379208_1453568,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379217_1956816,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379217_1956877,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379217_1956967,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379217_2146588,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379217_2733445,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379217_2734149,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379217_2734151,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379217_2867802,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379217_2913348,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379217_2913386,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379226_2132714,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379229_849815,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379229_849903,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379237_1190541,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379245_191461,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379245_2144,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379250_835141,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379252_722234,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379252_722240,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379252_722267,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379255_862501,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379255_862565,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379267_120191,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379267_120192,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379267_120202,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379267_120204,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379267_120226,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379270_3038977,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379272_1779858,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379272_687362,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379280_34491,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_114856,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_114870,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_255069,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379287_255150,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_255315,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_255386,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379287_255419,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379295_648841,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379296_300386,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379297_276292,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379297_276311,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379297_276317,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379297_276337,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379304_3325612,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379304_3325650,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379310_110005,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379310_110056,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379319_792765,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379319_792769,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379319_793112,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379321_1537192,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379321_1537197,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379321_1537211,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379321_1537234,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379343_15731,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379350_1306528,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379352_1620770,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379352_1620920,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379352_1918940,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379356_3637649,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379356_3736467,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379356_3736499,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379375_8559920,0,2,8,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379375_9276327,0,2,8,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379378_1675809,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379382_1756032,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379382_651432,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379393_628518,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379402_1595892,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379402_2307306,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379402_2307328,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379416_1951593,0,1,9,10,0.625,4.6875,4.6875,7.493333333,0.023596269,0.170967801,1,1
29379416_1951724,0,1,9,10,0.625,4.6875,4.6875,7.493333333,0.023596269,0.170967801,1,1
29379430_829947,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379439_773196,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379439_773230,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379454_542553,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379454_542558,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379457_2246662,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379457_2312751,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379457_2312805,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379459_1432269,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379470_688690,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379470_688691,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379470_688776,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379471_887201,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379473_3766092,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379477_1057650,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379477_198821,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379482_1187326,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379482_1187339,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379482_1272884,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379482_1705422,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379482_1705450,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379482_5121385,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379488_371800,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379495_1116909,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379495_453515,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379495_796989,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379495_797065,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379509_1098947,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379513_1358947,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379513_1358998,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379513_1359005,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379513_1359026,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379513_1359030,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1518947,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1612600,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1652987,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1652994,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1653009,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379513_1653078,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379521_484166,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379523_1007855,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_1008192,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_1010077,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_1080297,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_789764,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379523_934425,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_934426,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_934488,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379523_934551,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379524_3160979,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379551_120739,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379551_4590032,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379551_5472920,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379551_5473315,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379551_5612987,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379551_5612990,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379551_5929526,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379551_6140307,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379551_6140324,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379556_2009070,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379556_2009096,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379556_2089211,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379561_846122,0,8,2,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379565_1888065,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379587_744618,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_1893536,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_1893541,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_1917286,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_1917410,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_2035369,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379608_2035393,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379608_2035411,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379608_2124811,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_2124874,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_2124896,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_2124924,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379608_2124925,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379610_1173396,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379610_974449,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379610_974454,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379612_2269005,0,2,8,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379615_1013030,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379630_4500070,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379630_4863497,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379630_4863968,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379630_7066491,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379638_740345,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379649_178687,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379656_368464,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379668_1402482,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379669_1660123,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379688_892373,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379693_4302746,0,2,8,10,0.625,4.6875,4.6875,4.506666667,0.105048479,0.485914693,1,1
29379708_248205,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379713_2482428,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379717_344825,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379732_431329,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379732_431347,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379732_431367,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379763_3224197,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379765_2137186,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379782_1817966,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379782_1818205,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379782_1999747,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379782_1999891,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379790_418464,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379790_497788,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379790_543879,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379795_2377832,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379795_2458421,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379795_2490850,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379795_2490993,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379795_2491042,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379795_2491506,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379795_2491508,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379795_2491522,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379799_2048500,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379808_2129360,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379808_2129546,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379808_2155719,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379808_3140763,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379808_3386430,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379820_1158010,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379867_262732,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379867_264526,0,3,7,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379867_282142,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379867_307716,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379871_1089107,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379871_2626356,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379871_2626368,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379871_3549296,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379874_528586,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379902_445337,0,7,3,10,0.625,4.6875,4.6875,2.373333333,0.305237027,0.796070503,1,1
29379912_1505564,0,5,5,10,0.625,4.6875,4.6875,0.666666667,0.716531311,0.856458118,1,1
29379916_3205328,0,4,6,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379916_3205432,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379918_2007615,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
29379918_2007616,0,6,4,10,0.625,4.6875,4.6875,1.093333333,0.578876185,0.856458118,1,1
